,auc_train,auc_test,f1_train,f1_test,precision_test,recall_test
118,0.9495270177465414,0.829910630980022,0.881685164526543,0.7364327405168901,0.7300924538302077,0.7601393561980772
119,0.9504175904054627,0.8308394589961555,0.8832979897181132,0.7380595843912783,0.7309439779792174,0.7575709660297634
120,0.949975556112297,0.8335455571218888,0.8826234348843625,0.7397573340321639,0.732983155728131,0.762390465949293
121,0.9512133670542056,0.8357887988117809,0.8846423590242387,0.7417175629831372,0.7349557153355673,0.7650361606643264
122,0.9518408244945867,0.8360908074231546,0.8863099829798897,0.7459244302613635,0.7385661087355271,0.7670380588594472
123,0.9524938635696716,0.8312852116849558,0.8868285127283144,0.7404907496160195,0.7333367288917214,0.7608641633579725
124,0.9526116614615935,0.82933053874203,0.8862414614367606,0.7378232274173167,0.7311097884361342,0.760152534356582
125,0.9529984161530041,0.8337854907816374,0.8857942166584416,0.7439871317085225,0.7365600786964387,0.7632455266694523
126,0.9536331447615597,0.8348370588659982,0.8879008292669954,0.7392291884656115,0.7327254789116739,0.7630181717772708
127,0.9530877856545026,0.8355587171129387,0.8879829470144123,0.7353725446308637,0.7289804264788211,0.7585423085918487
128,0.9541867193381434,0.8340002078113709,0.8882048082606546,0.7331243401426338,0.7266374773363625,0.7551433905211946
129,0.953528973085606,0.8312206463061951,0.8881343918606226,0.7321311165959912,0.7263596088294435,0.7569245524508268
130,0.9542768549799396,0.8304627038022052,0.8888279765313922,0.7339795983447464,0.7269192948086812,0.7504890016997039
131,0.9536054939748797,0.8305070756158514,0.8860425932072349,0.7303081799626183,0.7248136908549898,0.7556097504392776
132,0.9543893123390258,0.8353888277716495,0.8880667321214664,0.7393594631754306,0.7321176812396186,0.7580230587551025
133,0.9556436640780105,0.8350941806940467,0.8890958651193293,0.7312876582242404,0.7282397116082224,0.7631807249111668
134,0.9556470639449925,0.8351265055940567,0.8851217661713984,0.741118320924536,0.7338294571261506,0.7564646338747933
135,0.9533112430821209,0.8311218058963454,0.8862157596183292,0.7296394453261585,0.7261304161427555,0.7601725675213047
136,0.9557605792846019,0.8304027984769324,0.885628460932967,0.7373467797698177,0.7306886504716844,0.7491193089856569
137,0.9544930178348482,0.8284226556402148,0.8857120256047011,0.7264284794320188,0.7245002495482176,0.7596497297810578
138,0.9553149750833407,0.8286784436123735,0.88705668539349,0.7378641772671732,0.7311048815120882,0.7500565875698003
139,0.9547559816403745,0.8269939609083647,0.8874239400379815,0.7278780194863894,0.7235604601631198,0.7560694917306675
140,0.9546752713392856,0.82833145535429,0.8884315931762399,0.7310112088301204,0.724076101095982,0.7476517213798594
141,0.9558070740656868,0.8285920806645803,0.8888139783723634,0.728242410497407,0.7225220226338918,0.7522230987775329
142,0.9559840300252103,0.827926503459887,0.8900770069052877,0.7283682807050931,0.722238799241268,0.7506911484039959
143,0.9561087551819314,0.8279175379221984,0.8898212478542372,0.7304836953090473,0.7239066254598232,0.7510762022076902
144,0.9571431401125592,0.8260334664780402,0.8913775157540027,0.727484627640282,0.7229667265416934,0.755057643848591
145,0.9574866374910506,0.8251103791075078,0.892608733815725,0.7309955974000995,0.7245063878599486,0.7523032567628013
146,0.9572292310685443,0.822937485652607,0.8911567558977405,0.726756167028983,0.7227039115588165,0.7553833072966916
147,0.9575951757845864,0.8231612779676656,0.8933247911670724,0.7293205255328443,0.7226902117715964,0.7490817752939768
148,0.9581252187726994,0.8243295753266242,0.8929570733199379,0.7273247792128621,0.7230539315345799,0.7555173260450998
149,0.9582287064630507,0.8280290077523704,0.8937428637354211,0.7342287506400409,0.7274079104344797,0.7545751341436919
150,0.9581401021465628,0.8285138896946429,0.8938223144235371,0.7321399429971176,0.7277477484112389,0.7610644865630735
151,0.9593356172720733,0.8280153568348161,0.8952295276248696,0.7363462565213428,0.7295656472325367,0.7577796131709861
152,0.9588746200512519,0.8238790612788254,0.8948576034765967,0.7239694187668626,0.722736400857725,0.7580395040163246
153,0.9589649453175483,0.8279165839619733,0.894021116639601,0.7333730158079457,0.7268851560173633,0.744815234619848
154,0.9567233167233735,0.8250939760569153,0.8870070563103019,0.7164546103343508,0.7184988681887157,0.7546454401680537
155,0.9542955442178255,0.8327351890161594,0.8796681996164459,0.736021765972698,0.7327802371950984,0.739918193774074
