,auc_train,auc_test,f1_train,f1_test,precision_test,recall_test
103,0.9399973361509922,0.8622381975610808,0.8691968785909457,0.7702922086680658,0.7630341971255732,0.7826874736566067
104,0.9397964535898979,0.8635982001874373,0.8648977505321715,0.7694460326808603,0.7616571235672739,0.7904696700230545
105,0.9401433206844066,0.8658514396764232,0.8694888829578981,0.7744793505588914,0.7672729224019343,0.7863416340966531
106,0.9407307928681252,0.8654362630579411,0.8658208796496752,0.7723412710802808,0.7645909769334186,0.7949167391608911
107,0.9412668567567285,0.8649354641745817,0.8718629956208392,0.7745670704859595,0.7667136116435127,0.7894565532583584
108,0.9416145026501571,0.8639464144446413,0.8700634728873928,0.7719770687267602,0.7639508907326064,0.7905614602841414
109,0.9423916353403042,0.8617903598747013,0.871519717145926,0.7657040866580611,0.7579313703778578,0.7840989594060284
110,0.94333839973107,0.8620248809358451,0.8734577201825529,0.766402558868218,0.7588044650137837,0.7811666540936835
111,0.9435421964377411,0.8639234325780762,0.871572689724276,0.7666237643068888,0.7589065019033873,0.7869468149340697
112,0.944116204750056,0.8641157006823738,0.8761296561639302,0.769175536596006,0.7618746039816988,0.7818595028003825
113,0.9441958411281592,0.8613911614223355,0.8728730334910744,0.7632422664150009,0.755729526169387,0.7840007953409713
114,0.9449514765901054,0.8611815306269888,0.8784754092519254,0.7648168233057606,0.7571168351083386,0.7812383562700469
115,0.9453267414711839,0.8640419404284075,0.8759561990486684,0.769241562505468,0.7613607133065894,0.7889061547047704
116,0.9461040357580535,0.8628429044169887,0.878968284421031,0.769177718782814,0.7612805932407727,0.7864624058323475
117,0.9475722943904538,0.8627682523293946,0.879410246227267,0.7674010534090145,0.7595701989358322,0.7846729323030672
118,0.9477772244360108,0.8637895889313044,0.8785954626625629,0.7680977955860725,0.7602811258534814,0.7879895867260431
119,0.9477657332336272,0.8644485791431372,0.878445370385928,0.76934220307849,0.7615027740998475,0.785531499912987
120,0.9486759356903675,0.8626249103426555,0.8777908650002026,0.765636463250076,0.7581020023352971,0.7872266261756737
121,0.9489769698469142,0.8623841713925118,0.8807403949753394,0.7715500690140255,0.7635819101203618,0.7885170345960599
122,0.9474764113264857,0.8624114565122466,0.8775508359702227,0.7663923098470764,0.7599796448668935,0.7934236412796183
123,0.9486088595391192,0.8635673602063886,0.881096352897647,0.7746500080580601,0.7677487432760792,0.7854993252997958
124,0.9469806671712766,0.8614341690076365,0.8710709654576323,0.7611123803686303,0.7554073362103866,0.7891884980054859
125,0.9491304143119673,0.8597356250888093,0.881112374905985,0.7650714777431094,0.7575740735915197,0.779382918235296
126,0.9489838131168126,0.859099292440404,0.8760268704085946,0.7612001760481288,0.7538081020229876,0.7821230427557264
127,0.9505124062365284,0.859738849410387,0.8817587401792715,0.7591572379726523,0.7526123776431355,0.7839679596483078
128,0.9504789876019599,0.8644226972581318,0.8820352321344179,0.7706385971928539,0.7642278442312838,0.7802810134083881
129,0.9497379488098463,0.8644268508329302,0.8747090170193099,0.7621288578910426,0.7563072193813022,0.7900798888348717
130,0.9506635802406083,0.8631163480912216,0.8822537421462182,0.7710877611445911,0.763300243355902,0.7862383684937806
131,0.949671290972522,0.8619529043491345,0.8783436533464997,0.7642518824699129,0.7570010233111398,0.7872030393590252
132,0.9515967564547996,0.861176248227808,0.8852837674521759,0.7609551843012098,0.7558410612306765,0.7906194357065537
133,0.9516745963529516,0.8636738438942402,0.8854073051522001,0.770895732520445,0.7633118732499857,0.7847570764940297
134,0.9500352094937639,0.8618867652188976,0.8786390442469731,0.7659624620036782,0.7590723715065117,0.7911134242240274
