,auc_train,auc_test,f1_train,f1_test,precision_test,recall_test
0,0.5038760730460452,0.5253246838191002,0.4101712177534904,0.5095560512638166,0.5335018969779448,0.5187713624168473
1,0.5466381362931145,0.5380318633145854,0.5341732807215687,0.447503752068448,0.5738744414544867,0.5049364949243074
2,0.5538292441813976,0.5495649599158471,0.460042974559495,0.4318210480076147,0.4787822484803339,0.49961260585304007
3,0.5631241026669609,0.5738044573569772,0.4372701070042912,0.42982545333185007,0.4222087485947428,0.4996803099589223
4,0.5834156674150868,0.6036194145215743,0.4359364504511815,0.4306033844273135,0.676875,0.5003305393093387
5,0.6105120750408746,0.6369779165999618,0.43713706754842274,0.43988749323006837,0.7753820321451406,0.5045164491518156
6,0.6370674432683319,0.6655544090284184,0.4448718725658896,0.4517282895758894,0.6656692640899273,0.5086482164737366
7,0.6581268116636974,0.6835791834622683,0.4756424950304872,0.46451436712997224,0.5898423655527021,0.5111192541185172
8,0.6931708455358974,0.6965253193889609,0.5116725258144714,0.4938673238322279,0.5997774235942175,0.5231542331975981
9,0.7089660587999121,0.7024126566421504,0.5389140903793679,0.4999786658406923,0.5692230706710106,0.5223579020982796
10,0.7164551401320264,0.703349716766615,0.5495714671822282,0.5004834244296074,0.5657135471351048,0.5220571982766586
11,0.7167947704557882,0.7128210890256692,0.550266801174712,0.5022542163718634,0.5707595081546702,0.5234985417337609
12,0.7246748572979712,0.7272584932120956,0.5508084662290609,0.5101258129880064,0.5962430424788104,0.5300468927176597
13,0.7371715982752282,0.7420672771949628,0.5526316676410724,0.511823276635978,0.6180424849648599,0.5328753332905591
14,0.752366346392472,0.7499691782151677,0.5552643182011623,0.5072787092996056,0.6250740942414299,0.5312280094676217
15,0.7670065201096845,0.7626672344623425,0.5523289249904472,0.5060318462883696,0.6439019285562113,0.5318727622735332
16,0.7841839882419642,0.7737586775977456,0.5485446353517882,0.4838543405474599,0.6180394966512168,0.520230757706666
17,0.7967001865492944,0.7789062271269913,0.5357375551545153,0.48042457725921406,0.6479629771461244,0.5202577770565696
18,0.8079420954753842,0.7923055536002649,0.5278639363574936,0.4846644044083356,0.6646325646473312,0.5228316231979573
19,0.8195359502301572,0.8052770996552528,0.5289142595998493,0.4895397085944216,0.6754351124598358,0.5255084335670753
20,0.8267006802618591,0.8229947074258621,0.5339345055659365,0.5050206303614795,0.7274646937146139,0.5349178767494056
21,0.8352509347315682,0.8397830935385495,0.5441822836520712,0.5245407304555983,0.8080506496012783,0.5473969490819443
22,0.8410964687079802,0.835392890417407,0.5519478467159384,0.6012621408566259,0.771365278410721,0.5936290034059435
23,0.8465720648051624,0.8384173834970275,0.6218900155371254,0.6459803790557546,0.7633260226331697,0.6269700765761079
24,0.8493006102162242,0.8427727417793175,0.662890947180123,0.6689840816297805,0.7575003009996097,0.6469920896894992
25,0.8564673686618731,0.8443128447238191,0.6964321869839204,0.6473610450232682,0.7630635565919912,0.6281025792603935
26,0.8599422865945426,0.8520859301498155,0.686521306631819,0.6803609696260908,0.7453811907065051,0.6590053702320581
